id,documentId,name,category,section,page,confidenceScore,confidenceLevel,extractedValue,correctedValue,highlightedText,versionId,attributeKey
attr-012--doc-002-v3,doc-002,"Disclosing Party",Parties,Parties,1,99,high,"TechStart Inc.","","TechStart Inc. (""Disclosing Party"") and Contract AI Solutions (""Receiving Party"") agree to the following terms.",doc-002-v3,attr-012
attr-013--doc-002-v3,doc-002,"Confidentiality Duration",Terms,Obligations,1,94,high,"5 years","","The Receiving Party shall maintain confidentiality of all disclosed information for a period of five (5) years from the date of disclosure.",doc-002-v3,attr-013
attr-014--doc-002-v3,doc-002,"Governing Law",Legal,General,1,96,high,"State of California","","This Agreement shall be governed by and construed under the laws of the State of California.",doc-002-v3,attr-014
attr-015--doc-002-v3,doc-002,"Return of Materials",Terms,Obligations,1,88,high,"Within 10 business days","","Upon request, the Receiving Party shall return or destroy all confidential materials within ten (10) business days.",doc-002-v3,attr-015
attr-016--doc-002-v3,doc-002,"Permitted Disclosures",Terms,Exceptions,1,78,medium,"Legal requirements and court orders","","Disclosure is permitted only when required by law or court order, provided the Receiving Party gives prior notice.",doc-002-v3,attr-016
attr-017--doc-002-v3,doc-002,"Non-Compete Clause",Legal,Restrictions,1,65,medium,None,"","This Agreement does not impose any non-compete obligations on either party.",doc-002-v3,attr-017
attr-018--doc-002-v3,doc-002,"Amendment Process",Legal,General,1,92,high,"Written consent required","","Any amendment to this Agreement must be in writing and signed by both parties.",doc-002-v3,attr-018
attr-019--doc-003-v1,doc-003,"Agreement Type",General,Preamble,1,99,high,"Master Services Agreement","","This Master Services Agreement (""MSA"") governs the relationship between GlobalTech Solutions and the Client.",doc-003-v1,attr-019
attr-020--doc-003-v1,doc-003,"Term Length",Dates,Term,1,45,low,"3 years","","The initial term shall be for a period as specified in the applicable Statement of Work, generally expected to span multiple years.",doc-003-v1,attr-020
attr-021--doc-003-v1,doc-003,"Service Scope",Terms,Services,1,72,medium,"IT Consulting and Development","","Provider shall deliver IT consulting, software development, and related professional services as detailed in each Statement of Work.",doc-003-v1,attr-021
attr-022--doc-003-v1,doc-003,"Rate Card",Financial,Pricing,1,38,low,$150-$300/hour,"","Rates for services shall be as set forth in Exhibit B, which may be updated annually subject to mutual agreement.",doc-003-v1,attr-022
attr-023--doc-003-v1,doc-003,"SLA Uptime",Terms,"Service Levels",1,89,high,99.5%,"","Provider guarantees 99.5% uptime for all hosted services during business hours.",doc-003-v1,attr-023
attr-024--doc-003-v1,doc-003,"Data Protection",Legal,"Data Privacy",1,91,high,"GDPR Compliant","","Provider shall process all personal data in accordance with GDPR and applicable data protection regulations.",doc-003-v1,attr-024
attr-019--doc-003-v2,doc-003,"Agreement Type",General,Preamble,1,99,high,"Master Services Agreement","","This Master Services Agreement (""MSA"") governs the relationship between GlobalTech Solutions and the Client.",doc-003-v2,attr-019
attr-020--doc-003-v2,doc-003,"Term Length",Dates,Term,1,45,low,"3 years","","The initial term shall be for a period as specified in the applicable Statement of Work, generally expected to span multiple years.",doc-003-v2,attr-020
attr-021--doc-003-v2,doc-003,"Service Scope",Terms,Services,1,72,medium,"IT Consulting and Development","","Provider shall deliver IT consulting, software development, and related professional services as detailed in each Statement of Work.",doc-003-v2,attr-021
attr-022--doc-003-v2,doc-003,"Rate Card",Financial,Pricing,1,38,low,$150-$300/hour,"","Rates for services shall be as set forth in Exhibit B, which may be updated annually subject to mutual agreement.",doc-003-v2,attr-022
attr-023--doc-003-v2,doc-003,"SLA Uptime",Terms,"Service Levels",1,90,high,99.9%,"","Provider guarantees 99.9% uptime for all hosted services during business hours.",doc-003-v2,attr-023
attr-024--doc-003-v2,doc-003,"Data Protection",Legal,"Data Privacy",1,91,high,"GDPR Compliant","","Provider shall process all personal data in accordance with GDPR and applicable data protection regulations.",doc-003-v2,attr-024
attr-019--doc-003-v3,doc-003,"Agreement Type",General,Preamble,1,99,high,"Master Services Agreement","","This Master Services Agreement (""MSA"") governs the relationship between GlobalTech Solutions and the Client.",doc-003-v3,attr-019
attr-020--doc-003-v3,doc-003,"Term Length",Dates,Term,1,45,low,"3 years","","The initial term shall be for a period as specified in the applicable Statement of Work, generally expected to span multiple years.",doc-003-v3,attr-020
attr-021--doc-003-v3,doc-003,"Service Scope",Terms,Services,1,72,medium,"IT Consulting and Development","","Provider shall deliver IT consulting, software development, and related professional services as detailed in each Statement of Work.",doc-003-v3,attr-021
attr-022--doc-003-v3,doc-003,"Rate Card",Financial,Pricing,1,39,low,$160-$320/hour,"","Rates for services shall be as set forth in Exhibit B ($160–$320/hour), which may be updated annually subject to mutual agreement.",doc-003-v3,attr-022
attr-023--doc-003-v3,doc-003,"SLA Uptime",Terms,"Service Levels",1,89,high,99.9%,"","Provider guarantees 99.9% uptime for all hosted services during business hours.",doc-003-v3,attr-023
attr-024--doc-003-v3,doc-003,"Data Protection",Legal,"Data Privacy",1,91,high,"GDPR Compliant","","Provider shall process all personal data in accordance with GDPR and applicable data protection regulations.",doc-003-v3,attr-024
attr-025--doc-004-v1,doc-004,"License Type",Terms,Grant,1,98,high,"Enterprise Site License","","Licensor grants Licensee a non-exclusive, enterprise-wide site license to use the Software.",doc-004-v1,attr-025
attr-026--doc-004-v1,doc-004,"Licensed Users",Terms,Scope,1,95,high,Unlimited,"","The license permits unlimited users within the Licensee's organization.",doc-004-v1,attr-026
attr-027--doc-004-v1,doc-004,"Annual Fee",Financial,Fees,1,97,high,"$75,000","","The annual license fee shall be Seventy-Five Thousand Dollars ($75,000), payable in advance.",doc-004-v1,attr-027
attr-028--doc-004-v1,doc-004,"Support Level",Terms,Support,1,93,high,"24/7 Premium Support","","License includes 24/7 premium support with 4-hour response time for critical issues.",doc-004-v1,attr-028
attr-029--doc-004-v1,doc-004,"Intellectual Property",Legal,"IP Rights",1,96,high,"Retained by Licensor","","All intellectual property rights in the Software remain with the Licensor.",doc-004-v1,attr-029
attr-025--doc-004-v2,doc-004,"License Type",Terms,Grant,1,98,high,"Enterprise Site License","","Licensor grants Licensee a non-exclusive, enterprise-wide site license to use the Software.",doc-004-v2,attr-025
attr-026--doc-004-v2,doc-004,"Licensed Users",Terms,Scope,1,95,high,Unlimited,"","The license permits unlimited users within the Licensee's organization.",doc-004-v2,attr-026
attr-027--doc-004-v2,doc-004,"Annual Fee",Financial,Fees,1,98,high,"$80,000","","The annual license fee shall be Eighty Thousand Dollars ($80,000), payable in advance.",doc-004-v2,attr-027
attr-028--doc-004-v2,doc-004,"Support Level",Terms,Support,1,93,high,"24/7 Premium Support","","License includes 24/7 premium support with 4-hour response time for critical issues.",doc-004-v2,attr-028
attr-029--doc-004-v2,doc-004,"Intellectual Property",Legal,"IP Rights",1,96,high,"Retained by Licensor","","All intellectual property rights in the Software remain with the Licensor.",doc-004-v2,attr-029
attr-025--doc-004-v3,doc-004,"License Type",Terms,Grant,1,98,high,"Enterprise Site License","","Licensor grants Licensee a non-exclusive, enterprise-wide site license to use the Software.",doc-004-v3,attr-025
attr-026--doc-004-v3,doc-004,"Licensed Users",Terms,Scope,1,95,high,Unlimited,"","The license permits unlimited users within the Licensee's organization.",doc-004-v3,attr-026
attr-027--doc-004-v3,doc-004,"Annual Fee",Financial,Fees,1,97,high,"$80,000","","The annual license fee shall be Eighty Thousand Dollars ($80,000), payable in advance.",doc-004-v3,attr-027
attr-028--doc-004-v3,doc-004,"Support Level",Terms,Support,1,94,high,"24/7 Platinum Support","","License includes 24/7 platinum support with 2-hour response time for critical issues.",doc-004-v3,attr-028
attr-029--doc-004-v3,doc-004,"Intellectual Property",Legal,"IP Rights",1,96,high,"Retained by Licensor","","All intellectual property rights in the Software remain with the Licensor.",doc-004-v3,attr-029
attr-030--doc-005-v1,doc-005,"Consultant Name",Parties,Parties,1,99,high,"Innovation Labs LLC","","This Consulting Agreement is between Innovation Labs LLC (""Consultant"") and the Client.",doc-005-v1,attr-030
attr-031--doc-005-v1,doc-005,"Project Duration",Dates,Term,1,68,medium,"6 months","","The initial project engagement is expected to span approximately six months, subject to milestone completion.",doc-005-v1,attr-031
attr-032--doc-005-v1,doc-005,Deliverables,Terms,Scope,1,42,low,"Strategic Assessment Report","","Consultant shall deliver reports, analyses, and recommendations as outlined in the project plan attached as Exhibit A.",doc-005-v1,attr-032
attr-033--doc-005-v1,doc-005,"Consulting Rate",Financial,Compensation,1,85,high,$250/hour,"","Consultant shall be compensated at a rate of Two Hundred Fifty Dollars ($250) per hour for services rendered.",doc-005-v1,attr-033
attr-034--doc-005-v1,doc-005,"Expense Policy",Financial,Expenses,1,78,medium,"Pre-approved only","","Reimbursable expenses must be pre-approved by Client and accompanied by receipts.",doc-005-v1,attr-034
attr-035--doc-005-v1,doc-005,"Work Product Ownership",Legal,"IP Rights",1,91,high,"Client owns all deliverables","","All work product and deliverables created under this Agreement shall be owned by the Client.",doc-005-v1,attr-035
attr-030--doc-005-v2,doc-005,"Consultant Name",Parties,Parties,1,99,high,"Innovation Labs LLC","","This Consulting Agreement is between Innovation Labs LLC (""Consultant"") and the Client.",doc-005-v2,attr-030
attr-031--doc-005-v2,doc-005,"Project Duration",Dates,Term,1,68,medium,"6 months","","The initial project engagement is expected to span approximately six months, subject to milestone completion.",doc-005-v2,attr-031
attr-032--doc-005-v2,doc-005,Deliverables,Terms,Scope,1,42,low,"Strategic Assessment Report","","Consultant shall deliver reports, analyses, and recommendations as outlined in the project plan attached as Exhibit A.",doc-005-v2,attr-032
attr-033--doc-005-v2,doc-005,"Consulting Rate",Financial,Compensation,1,86,high,$275/hour,"","Consultant shall be compensated at a rate of Two Hundred Seventy-Five Dollars ($275) per hour for services rendered.",doc-005-v2,attr-033
attr-034--doc-005-v2,doc-005,"Expense Policy",Financial,Expenses,1,78,medium,"Pre-approved only","","Reimbursable expenses must be pre-approved by Client and accompanied by receipts.",doc-005-v2,attr-034
attr-035--doc-005-v2,doc-005,"Work Product Ownership",Legal,"IP Rights",1,91,high,"Client owns all deliverables","","All work product and deliverables created under this Agreement shall be owned by the Client.",doc-005-v2,attr-035
attr-030--doc-005-v3,doc-005,"Consultant Name",Parties,Parties,1,99,high,"Innovation Labs LLC","","This Consulting Agreement is between Innovation Labs LLC (""Consultant"") and the Client.",doc-005-v3,attr-030
attr-031--doc-005-v3,doc-005,"Project Duration",Dates,Term,1,69,medium,"7 months","","The initial project engagement is expected to span approximately seven months, subject to milestone completion.",doc-005-v3,attr-031
attr-032--doc-005-v3,doc-005,Deliverables,Terms,Scope,1,42,low,"Strategic Assessment Report","","Consultant shall deliver reports, analyses, and recommendations as outlined in the project plan attached as Exhibit A.",doc-005-v3,attr-032
attr-033--doc-005-v3,doc-005,"Consulting Rate",Financial,Compensation,1,85,high,$275/hour,"","Consultant shall be compensated at a rate of Two Hundred Seventy-Five Dollars ($275) per hour for services rendered.",doc-005-v3,attr-033
attr-034--doc-005-v3,doc-005,"Expense Policy",Financial,Expenses,1,78,medium,"Pre-approved only","","Reimbursable expenses must be pre-approved by Client and accompanied by receipts.",doc-005-v3,attr-034
attr-035--doc-005-v3,doc-005,"Work Product Ownership",Legal,"IP Rights",1,91,high,"Client owns all deliverables","","All work product and deliverables created under this Agreement shall be owned by the Client.",doc-005-v3,attr-035
attr-001--doc-001-v4,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v4,attr-001
attr-001--doc-001-v5,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v5,attr-001
attr-001--doc-001-v6,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v6,attr-001
attr-001--doc-001-v7,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v7,attr-001
attr-001--doc-001-v8,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v8,attr-001
attr-001--doc-001-v9,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v9,attr-001
attr-001--doc-001-v10,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v10,attr-001
attr-001--doc-001-v11,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v11,attr-001
attr-001--doc-001-v12,doc-001,"Contract Start Date",Dates,"Terms and Conditions",1,95,high,"January 1, 2024","","This Agreement shall commence on January 1, 2024 (the ""Effective Date"") and shall continue for a period of twelve (12) months unless earlier terminated in accordance with the provisions herein.",doc-001-v12,attr-001
attr-002--doc-001-v4,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v4,attr-002
attr-002--doc-001-v5,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v5,attr-002
attr-002--doc-001-v6,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v6,attr-002
attr-002--doc-001-v7,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v7,attr-002
attr-002--doc-001-v8,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v8,attr-002
attr-002--doc-001-v9,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v9,attr-002
attr-002--doc-001-v10,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v10,attr-002
attr-002--doc-001-v11,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v11,attr-002
attr-002--doc-001-v12,doc-001,"Contract End Date",Dates,"Terms and Conditions",1,92,high,"December 31, 2024","","The initial term of this Agreement shall expire on December 31, 2024, subject to renewal provisions outlined in Section 5.2.",doc-001-v12,attr-002
attr-003--doc-001-v4,doc-001,"Total Contract Value",Financial,"Payment Terms",1,76,medium,"$160,000","","The total value of services under this Agreement shall not exceed One Hundred Sixty Thousand Dollars ($160,000) unless mutually agreed upon in writing by both parties.",doc-001-v4,attr-003
attr-003--doc-001-v5,doc-001,"Total Contract Value",Financial,"Payment Terms",1,76,medium,"$160,000","","The total value of services under this Agreement shall not exceed One Hundred Sixty Thousand Dollars ($160,000) unless mutually agreed upon in writing by both parties.",doc-001-v5,attr-003
attr-003--doc-001-v6,doc-001,"Total Contract Value",Financial,"Payment Terms",1,76,medium,"$160,000","","The total value of services under this Agreement shall not exceed One Hundred Sixty Thousand Dollars ($160,000) unless mutually agreed upon in writing by both parties.",doc-001-v6,attr-003
attr-003--doc-001-v7,doc-001,"Total Contract Value",Financial,"Payment Terms",1,76,medium,"$160,000","","The total value of services under this Agreement shall not exceed One Hundred Sixty Thousand Dollars ($160,000) unless mutually agreed upon in writing by both parties.",doc-001-v7,attr-003
attr-003--doc-001-v8,doc-001,"Total Contract Value",Financial,"Payment Terms",1,76,medium,"$160,000","","The total value of services under this Agreement shall not exceed One Hundred Sixty Thousand Dollars ($160,000) unless mutually agreed upon in writing by both parties.",doc-001-v8,attr-003
attr-003--doc-001-v9,doc-001,"Total Contract Value",Financial,"Payment Terms",1,76,medium,"$160,000","","The total value of services under this Agreement shall not exceed One Hundred Sixty Thousand Dollars ($160,000) unless mutually agreed upon in writing by both parties.",doc-001-v9,attr-003
attr-003--doc-001-v10,doc-001,"Total Contract Value",Financial,"Payment Terms",1,76,medium,"$160,000","","The total value of services under this Agreement shall not exceed One Hundred Sixty Thousand Dollars ($160,000) unless mutually agreed upon in writing by both parties.",doc-001-v10,attr-003
